106	free	103	592704		382944		-1
107	alloc	10464	582240		382944		0
108	alloc	51552	530688		382944		84288
109	free	86	641504		382944		-1
110	free	108	693056		382944		-1
111	alloc	31200	661856		382944		84288
112	free	82	741696		462784		-1
113	free	88	793504		573600		-1
114	alloc	63648	729856		573600		115488
115	free	87	791520		635264		-1
116	free	99	899712		723232		-1
117	alloc	96480	803232		723232		179136
118	alloc	44832	758400		723232		275616
119	alloc	24864	733536		723232		10464
120	free	119	758400		728128		-1
121	alloc	80224	678176		647904		320448
122	alloc	91680	586496		556224		400672
123	free	107	596960		556224		-1
124	alloc	94752	502208		461472		492352
125	alloc	113376	388832		348096		587104
126	alloc	82272	306560		265824		700480
127	free	102	350112		265824		-1
128	free	111	381312		265824		-1
129	alloc	124832	256480		140992		782752
130	alloc	45664	210816		140992		0
131	free	114	274464		140992		-1
132	alloc	94432	180032		140992		45664
133	free	126	262304		140992		-1
134	free	124	357056		140992		-1
135	free	122	448736		186432		-1
136	alloc	44192	404544		142240		400672
137	free	132	498976		142240		-1
138	alloc	93856	405120		142240		45664
139	alloc	124064	281056		140992		444864
140	free	136	325248		140992		-1
141	free	118	370080		140992		-1
142	free	121	450304		140992		-1
143	alloc	24288	426016		140992		139520
144	free	117	522496		169248		-1
145	free	139	646560		281056		-1
146	free	125	759936		423296		-1
147	alloc	84000	675936		339296		163808
148	alloc	62688	613248		276608		247808
149	free	147	697248		472256		-1
150	free	129	822080		597088		-1
151	alloc	123104	698976		473984		310496
152	alloc	84384	614592		389600		433600
153	alloc	67936	546656		389600		163808
154	alloc	67872	478784		321728		517984
155	free	148	541472		462720		-1
156	free	130	587136		462720		-1
157	alloc	91104	496032		371616		585856
158	alloc	21280	474752		371616		0
159	alloc	8480	466272		371616		21280
160	free	138	560128		371616		-1
161	alloc	27872	532256		371616		29760
162	alloc	30304	501952		371616		57632
163	alloc	44256	457696		371616		87936
164	free	158	478976		371616		-1
165	alloc	93408	385568		278208		676960
166	alloc	46368	339200		278208		231744
167	alloc	47584	291616		230624		770368
168	free	157	382720		230624		-1
169	free	163	426976		230624		-1
170	free	151	550080		230624		-1
171	free	143	574368		230624		-1
172	alloc	122528	451840		230624		278112
173	alloc	56800	395040		230624		87936
174	free	153	462976		230624		-1
175	free	154	530848		230624		-1
176	alloc	69984	460864		230624		144736
177	free	152	545248		230624		-1
178	alloc	92448	452800		230624		400640
179	alloc	18400	434400		230624		0
180	free	161	462272		230624		-1
181	free	159	470752		230624		-1
182	free	172	593280		230624		-1
183	free	162	623584		230624		-1
184	alloc	74080	549504		230624		278112
185	alloc	114656	434848		230624		493088
186	alloc	93216	341632		137408		817952
187	alloc	103776	237856		69536		911168
188	alloc	3936	233920		69216		18400
189	free	166	280288		69216		-1
190	free	165	373696		162624		-1
191	free	176	443680		162624		-1
192	free	167	491264		210208		-1
193	alloc	94240	397024		210208		144736
194	free	186	490240		303424		-1
195	free	179	508640		303424		-1
196	alloc	112480	396160		190944		607744
197	free	173	452960		190944		-1
198	free	187	556736		294720		-1
199	alloc	102560	454176		294720		22336
200	alloc	91424	362752		203296		720224
201	alloc	69472	293280		133824		811648
202	alloc	15328	277952		133824		0
203	alloc	14240	263712		133824		124896
204	alloc	105760	157952		48448		881120
205	free	178	250400		140896		-1
206	free	184	324480		140896		-1
207	alloc	80608	243872		140896		238976
208	alloc	101536	142336		61696		352192
209	free	200	233760		91424		-1
210	alloc	63648	170112		61696		720224
211	free	196	282592		112480		-1
212	alloc	46304	236288		66176		607744
213	alloc	112480	236288		66176		-1
214	free	185	350944		154016		-1
215	free	188	354880		154016		-1
216	alloc	48992	305888		105024		453728
217	alloc	128224	305888		105024		-1
218	alloc	65568	240320		66176		502720
219	alloc	14816	225504		66176		319584
220	free	202	240832		66176		-1
221	free	212	287136		85760		-1
222	free	193	381376		151936		-1
223	free	210	445024		215584		-1
224	free	219	459840		243360		-1
225	free	201	529312		312832		-1
226	alloc	122592	406720		190240		568288
227	alloc	16480	390240		190240		0
228	free	208	491776		190240		-1
229	free	199	594336		190240		-1
230	alloc	122080	472256		190240		319584
231	free	203	486496		190240		-1
232	free	213	486496		222496		-1
233	free	204	592256		296000		-1
234	alloc	116000	476256		296000		16480
235	alloc	65824	410432		296000		132480
236	alloc	110944	299488		185056		690880
237	free	207	380096		246752		-1
238	alloc	36192	343904		246752		198304
239	alloc	58336	285568		246752		234496
240	free	216	334560		246752		-1
241	free	226	457152		246752		-1
242	free	234	573152		246752		-1
243	alloc	57184	515968		246752		16480
244	free	227	532448		246752		-1
245	free	218	598016		246752		-1
246	free	217	598016		249216		-1
247	alloc	105632	492384		246752		441664
248	alloc	121056	371328		246752		547296
249	free	248	492384		246752		-1
250	free	230	614464		246752		-1
251	alloc	42080	572384		246752		73664
252	alloc	87328	485056		246752		292832
253	alloc	8352	476704		246752		0
254	alloc	48416	428288		246752		380160
255	free	247	533920		246752		-1
256	free	251	576000		262304		-1
257	alloc	17312	558688		262304		73664
258	free	243	615872		262304		-1
259	alloc	63136	552736		262304		8352
260	free	236	663680		373248		-1
261	free	235	729504		620000		-1
262	alloc	47328	682176		620000		90976
263	free	238	718368		620000		-1
264	free	239	776704		620000		-1
265	alloc	52256	724448		620000		138304
266	alloc	118048	606400		501952		428576
267	alloc	98656	507744		501952		190560
268	alloc	11552	496192		490400		546624
269	alloc	125344	370848		365056		558176
270	free	257	388160		365056		-1
271	alloc	116064	272096		248992		683520
272	alloc	69664	202432		179328		799584
273	free	271	318496		179328		-1
274	free	254	366912		179328		-1
275	alloc	114976	251936		179328		683520
276	alloc	44064	207872		179328		380160
277	free	253	216224		179328		-1
278	alloc	39520	176704		139808		869248
279	alloc	106784	69920		33024		908768
280	free	262	117248		66816		-1
281	free	252	204576		90944		-1
282	free	259	267712		138304		-1
283	alloc	24096	243616		114208		0
284	alloc	71968	171648		90944		24096
285	free	276	215712		135008		-1
286	alloc	58976	156736		76032		289216
287	free	272	226400		80384		-1
288	free	267	325056		98656		-1
289	free	269	450400		125344		-1
290	free	279	557184		139808		-1
291	free	265	609440		139808		-1
292	alloc	111008	498432		139808		558176
293	free	268	509984		193152		-1
294	alloc	42336	467648		150816		96064
295	alloc	121184	346464		139808		138400
296	free	266	464512		198432		-1
297	alloc	26848	437664		198432		259584
298	alloc	77216	360448		139808		348192
299	alloc	103776	256672		139808		425408
300	alloc	120480	136192		70752		908768
301	free	284	208160		71968		-1
302	alloc	118560	208160		71968		-1
303	alloc	42080	166080		70752		24096
304	free	275	281056		129312		-1
305	free	278	320576		200064		-1
306	free	294	362912		239584		-1
307	alloc	72992	289920		166592		669184
308	free	302	289920		166592		-1
309	alloc	44512	245408		166592		66176
310	free	300	365888		287072		-1
311	alloc	32224	333664		254848		742176
312	alloc	87648	246016		167200		774400
313	free	283	270112		186528		-1
314	alloc	32352	237760		154176		862048
315	free	286	296736		154176		-1
316	free	297	323584		154176		-1
317	free	292	434592		154176		-1
318	alloc	63584	371008		154176		259584
319	free	303	413088		154176		-1
